RUN	NonFunctional.NFTDefinitionLayer.apiSimulation	apisimulation	1604625681696	 	3.0.2
REQUEST	64		GET /api/v2/pokemon/	1604625688207	1604625688358	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	64	END	1604625688188	1604625688361
USER	Positive: Fetch 10 pokemon characters and validate the schema	66	START	1604625688386	1604625688386
REQUEST	65		GET /api/v2/pokemon/	1604625688306	1604625688401	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	65	END	1604625688289	1604625688403
USER	Positive: Fetch 10 pokemon characters and validate the schema	67	START	1604625688488	1604625688488
REQUEST	66		GET /api/v2/pokemon/	1604625688409	1604625688504	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	66	END	1604625688386	1604625688505
USER	Positive: Fetch 10 pokemon characters and validate the schema	68	START	1604625688586	1604625688586
REQUEST	67		GET /api/v2/pokemon/	1604625688510	1604625688606	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	67	END	1604625688488	1604625688608
USER	Positive: Fetch 10 pokemon characters and validate the schema	69	START	1604625688686	1604625688686
REQUEST	68		GET /api/v2/pokemon/	1604625688608	1604625688707	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	68	END	1604625688586	1604625688708
USER	Positive: Fetch 10 pokemon characters and validate the schema	70	START	1604625688788	1604625688788
REQUEST	69		GET /api/v2/pokemon/	1604625688703	1604625688812	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	69	END	1604625688686	1604625688813
USER	Positive: Fetch 10 pokemon characters and validate the schema	71	START	1604625688887	1604625688887
REQUEST	70		GET /api/v2/pokemon/	1604625688804	1604625688909	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	70	END	1604625688788	1604625688910
USER	Positive: Fetch 10 pokemon characters and validate the schema	72	START	1604625688987	1604625688987
REQUEST	71		GET /api/v2/pokemon/	1604625688907	1604625689006	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	71	END	1604625688887	1604625689008
USER	Positive: Fetch 10 pokemon characters and validate the schema	73	START	1604625689086	1604625689086
REQUEST	72		GET /api/v2/pokemon/	1604625689004	1604625689105	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	72	END	1604625688987	1604625689106
USER	Positive: Fetch 10 pokemon characters and validate the schema	74	START	1604625689187	1604625689187
REQUEST	73		GET /api/v2/pokemon/	1604625689102	1604625689195	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	73	END	1604625689086	1604625689197
USER	Positive: Fetch 10 pokemon characters and validate the schema	75	START	1604625689287	1604625689287
REQUEST	74		GET /api/v2/pokemon/	1604625689204	1604625689297	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	74	END	1604625689187	1604625689299
USER	Positive: Fetch 10 pokemon characters and validate the schema	76	START	1604625689387	1604625689387
REQUEST	75		GET /api/v2/pokemon/	1604625689304	1604625689399	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	75	END	1604625689287	1604625689401
USER	Positive: Fetch 10 pokemon characters and validate the schema	77	START	1604625689488	1604625689488
REQUEST	76		GET /api/v2/pokemon/	1604625689405	1604625689496	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	76	END	1604625689387	1604625689499
USER	Positive: Fetch 10 pokemon characters and validate the schema	78	START	1604625689588	1604625689588
REQUEST	77		GET /api/v2/pokemon/	1604625689506	1604625689606	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	77	END	1604625689488	1604625689608
